,Sample1,Sample2,Sample3,Sample4,Sample5,Sample6,Sample7,Sample8,Sample9,Sample10,Sample11,Sample12,Sample13,Sample14,Sample15,Sample16
Gene1,412,232,312,208,576,414,581,1185,533,516,459,489,720,654,872,995
Gene2,435,191,207,125,627,411,588,1151,622,524,483,475,821,760,1039,1048
Gene3,166,88,46,47,110,59,83,560,87,140,104,72,74,174,291,83
Gene4,271,123,167,130,404,203,282,695,237,468,294,197,372,393,466,360
Gene5,41,26,45,16,80,45,63,143,55,63,50,63,72,72,68,74
Gene6,319,174,299,117,494,515,492,751,536,426,349,663,629,310,452,634
Gene7,75,43,71,43,73,82,109,184,82,78,65,128,131,87,102,138
Gene8,113,76,102,83,155,165,198,346,176,148,129,203,227,198,259,249
Gene9,21,13,19,14,29,28,29,90,36,34,26,37,46,35,68,52
Gene10,389,263,339,168,459,477,586,1048,509,504,433,584,777,573,801,922
Gene11,255,135,163,110,299,233,302,740,236,331,276,280,453,368,626,573
Gene12,131,80,80,65,124,104,153,486,140,196,143,135,202,207,370,311
Gene13,1077,676,694,597,1565,1027,1324,2749,1104,1677,1610,1017,2269,2086,2604,2774
Gene14,678,209,204,315,2,3,2,45,130,722,826,424,4,14,13,3
Gene15,104,53,75,50,160,69,108,271,83,148,67,46,158,243,243,224
Gene16,44,35,47,34,97,43,57,125,72,74,49,37,86,136,136,135
Gene17,10949,6850,6346,6571,8104,4542,7745,21124,7748,12626,7802,5779,10311,11807,12695,9170
Gene18,625,210,238,182,1031,295,395,1472,340,1027,636,370,628,1129,1302,722
Gene19,105,54,54,74,154,97,124,384,90,157,133,60,226,309,427,232
Gene20,78,46,27,34,103,58,88,250,52,115,68,46,117,171,223,132
Gene21,385,272,273,238,704,467,491,990,557,600,562,481,1121,746,898,1293
Gene22,259,183,271,161,478,329,375,714,373,446,399,421,770,564,714,878
Gene23,433,280,299,201,680,483,456,855,511,696,468,542,1051,805,971,1487
Gene24,72,26,59,20,101,88,81,180,70,129,93,92,185,117,183,205
Gene25,6,2,5,1,14,7,8,23,7,10,10,8,14,18,22,29
Gene26,23,30,26,20,46,62,43,95,40,42,64,61,122,68,50,125
Gene27,29,6,9,9,20,27,24,30,14,17,13,36,86,22,31,83
Gene28,24,6,12,4,18,41,10,24,15,12,20,23,43,27,27,50
Gene29,7,2,0,0,6,25,7,18,4,8,9,19,30,18,27,33
Gene30,11,1,5,2,9,5,14,21,14,5,4,12,31,26,21,29
Gene31,44,16,14,8,71,62,117,101,40,34,42,47,151,104,93,169
Gene32,1691,927,1182,494,145,89,149,243,1623,2651,6074,4257,68,145,133,126
Gene33,10,10,2,4,24,20,17,30,12,20,17,22,21,27,24,21
Gene34,4,3,3,0,5,10,4,7,2,3,5,6,12,10,13,19
Gene35,21,3,11,7,20,19,25,46,12,25,23,28,38,27,53,41
Gene36,31,18,32,17,44,35,34,72,44,67,41,58,64,61,81,83
Gene37,109,66,122,47,155,109,115,239,122,185,157,175,258,160,191,250
Gene38,29,22,37,21,50,52,59,89,58,58,63,84,97,61,91,107
Gene39,45,43,60,19,69,72,95,179,105,59,85,141,139,89,159,213
Gene40,10,7,16,7,25,61,60,61,37,22,22,58,58,56,53,82
Gene41,171,153,88,88,451,469,668,616,307,419,317,286,724,567,505,835
Gene42,22,5,7,5,44,26,52,59,16,32,23,23,57,61,57,88
Gene43,6,9,6,7,34,13,17,39,11,11,25,10,26,20,23,29
Gene44,41,41,12,14,14,22,9,33,64,81,58,56,14,10,5,22
Gene45,25,24,6,5,7,3,8,15,48,50,61,42,16,3,4,13
Gene46,23,9,5,14,8,2,8,10,18,58,38,20,4,5,11,12
Gene47,253,161,132,131,379,170,214,616,224,455,323,222,308,435,460,295
Gene48,50,29,21,18,47,27,32,92,80,81,85,56,57,43,72,48
Gene49,11,3,5,1,8,0,7,16,19,24,10,17,11,9,4,7
Gene50,43,12,8,5,20,10,12,34,51,69,44,44,24,18,12,22
Gene51,38,13,10,10,19,14,16,29,60,56,61,40,22,16,17,26
Gene52,23,9,8,4,8,8,10,11,23,31,39,25,6,8,13,17
Gene53,29,16,15,12,11,6,10,16,31,54,45,50,19,15,16,28
Gene54,28,21,6,14,14,18,4,22,35,39,52,50,12,16,15,18
Gene55,55,38,13,13,11,7,14,34,25,43,53,51,20,5,8,31
Gene56,74,36,28,29,102,52,96,144,49,115,86,41,139,148,145,182
Gene57,61,32,40,30,84,41,58,159,56,97,66,42,88,157,148,121
Gene58,39,15,7,24,60,30,31,82,32,58,30,36,65,63,82,66
Gene59,45,31,19,25,73,40,44,117,37,85,68,28,79,86,147,109
Gene60,251,147,100,111,414,171,268,662,185,386,337,139,435,646,787,518
Gene61,6291,3711,2686,1424,339,456,166,713,8226,9338,7578,8585,292,184,198,292
Gene62,36,13,14,8,20,20,8,25,31,43,27,36,15,25,24,39
Gene63,58,42,35,29,70,19,25,88,46,76,75,55,58,96,74,52
Gene64,27,20,8,2,3,8,6,10,19,33,30,28,5,2,4,6
Gene65,95,45,14,9,10,7,10,37,52,94,59,53,20,5,4,15
Gene66,22,10,0,3,1,3,0,10,4,10,9,10,1,1,4,1
Gene67,90,45,16,24,6,16,4,36,59,106,66,81,8,5,5,6
Gene68,43,14,6,11,0,14,10,25,34,47,34,40,7,14,0,8
Gene69,32,17,6,8,8,7,9,14,29,26,24,23,3,3,6,12
Gene70,79,35,19,17,9,7,10,28,47,101,44,72,8,0,6,13
Gene71,78,37,8,11,16,11,6,10,24,59,40,53,17,2,5,10
Gene72,62,29,10,17,21,24,17,21,54,79,37,63,11,4,6,29
Gene73,6,2,4,1,4,3,11,15,4,13,10,13,8,2,3,9
Gene74,66,38,28,40,56,47,78,170,52,89,36,40,63,70,75,63
Gene75,96,49,43,44,110,53,126,209,46,100,71,66,156,139,199,168
Gene76,406,314,289,286,709,617,688,1261,544,667,528,462,1083,897,996,1363
Gene77,65,47,74,44,161,148,113,197,109,139,108,151,265,162,228,370
Gene78,99,61,83,55,235,220,186,234,135,178,149,196,394,215,276,571
Gene79,171,139,146,111,417,411,342,549,283,286,266,373,788,449,589,1171
Gene80,59,49,81,36,186,173,133,192,129,130,108,160,288,174,231,430
Gene81,148,113,174,67,367,360,305,449,293,282,278,360,729,415,541,1038
Gene82,489,395,394,204,1315,1148,1095,1388,897,882,761,1002,2190,1189,1654,3208
Gene83,564,370,491,248,1339,1047,1077,1588,1056,950,768,976,2153,1352,1622,3032
Gene84,253,194,219,132,655,486,465,782,421,490,339,376,948,607,769,1346
Gene85,606,323,198,437,544,237,194,831,370,694,407,254,262,345,390,239
Gene86,426,232,190,138,722,367,477,1057,426,746,535,328,837,752,970,800
Gene87,81,43,53,33,140,96,124,244,105,180,151,100,222,139,252,263
Gene88,49,16,18,15,66,57,53,103,52,68,63,46,105,86,102,130
Gene89,3,6,1,2,17,4,9,19,13,11,7,8,17,17,20,10
Gene90,361,263,317,198,728,552,679,914,611,595,540,648,1019,689,838,1487
Gene91,67,36,65,24,114,86,106,149,90,94,114,114,193,126,171,246
Gene92,108,57,65,70,178,117,153,256,125,204,156,149,237,155,272,350
Gene93,68,23,18,21,72,24,31,162,40,81,47,36,70,121,199,96
Gene94,246,149,120,125,560,208,339,641,268,390,278,143,584,558,706,623
Gene95,173,129,84,58,346,130,204,477,186,220,147,100,350,394,423,358
Gene96,663,431,368,199,1067,1030,664,1078,1126,1106,974,1158,915,523,585,1083
Gene97,1262,891,1022,439,2014,2367,1745,2294,2399,2010,2049,3103,2291,1012,1411,2956
Gene98,1328,882,993,365,2249,2706,1715,2324,2636,2102,2161,3282,2449,1120,1409,3079
Gene99,642,317,445,143,900,1102,741,1006,979,842,954,1321,1015,462,610,1254
Gene100,1670,1303,1410,493,2952,4084,2432,3160,3881,2826,3052,4699,3592,1535,1885,4843
Gene101,556,372,439,144,1058,1271,684,1026,1171,966,1105,1587,1045,488,684,1460
Gene102,666,353,460,149,1089,1415,710,1116,1160,989,1059,1580,1147,469,768,1536
Gene103,1167,854,875,359,2115,2667,1568,1935,2339,1944,2060,3150,2360,1074,1418,3277
Gene104,987,774,761,266,1736,2400,1319,1616,2201,1654,1558,2617,2003,871,1060,2963
Gene105,390,242,283,80,616,865,512,655,809,616,658,1063,736,304,404,1094
